Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
Erode (West),6,Sivasubramaniyan S,Amma Makkal Munnettra Kazagam,728,2,730,0.36
Erode (West),7,Thangavel G,United States of India Party,106,3,109,0.05
Erode (West),8,Durai Sevugan,Makkal Needhi Maiam,8068,39,8107,3.94
Erode (West),9,Balasubramaniam K,India Dravida Makkal Munnetra Katchi,54,0,54,0.03
Erode (West),10,Madhan K,Ganasangam Party of India,108,0,108,0.05
Erode (West),11,Iyyavu R,Independent,71,2,73,0.04
Erode (West),12,Kalithass R,Independent,166,3,169,0.08
Erode (West),13,Muthusamy A,Independent,189,0,189,0.09
Erode (West),14,Vimala M,Independent,432,2,434,0.21
Erode (West),15,VENGATESAN A,Independent,177,2,179,0.09
Erode (West),16,NOTA,None of the Above,1954,14,1968,0.96
Gandarvakkottai,1,M.Chinnadurai,Communist Party of India  (Marxist),68715,995,69710,44.23
Gandarvakkottai,2,S.Jayabharathi,All India Anna Dravida Munnetra Kazhagam,56681,308,56989,36.16
Gandarvakkottai,3,P.Asaithambi,Communist Party of India  (Marxist-Leninist)  (Liberation),1260,11,1271,0.81
Gandarvakkottai,4,KRM.Adhidravidar,Makkal Needhi Maiam,843,5,848,0.54
Gandarvakkottai,5,M.Thanaraj,Namadhu Makkal Katchi,133,0,133,0.08
Gandarvakkottai,6,S.Malarvizhi,Anaithu Makkal Arasiyal Katchi,188,2,190,0.12
Gandarvakkottai,7,M.Ramila,Naam Tamilar Katchi,12606,55,12661,8.03
Gandarvakkottai,8,P.Lenin,Amma Makkal Munnettra Kazagam,12728,112,12840,8.15
Gandarvakkottai,9,V.Ilaiyaraja,Independent,129,1,130,0.08
Gandarvakkottai,10,P.Karthikeyan,Independent,286,3,289,0.18
Gandarvakkottai,11,Keerai.A.T.Chinnappa,Independent,109,2,111,0.07
Gandarvakkottai,12,K. Manimuthu,Independent,231,1,232,0.15
Gandarvakkottai,13,P.Rengasamy,Independent,206,0,206,0.13
Gandarvakkottai,14,V.Rethinam,Independent,620,0,620,0.39
Gandarvakkottai,15,NOTA,None of the Above,1384,6,1390,0.88
Gangavalli,1,"SELLAMMAL,V.M.",Bahujan Samaj Party,481,4,485,0.26
Gangavalli,2,"NALLATHAMBI,A.",All India Anna Dravida Munnetra Kazhagam,88900,668,89568,48.02
Gangavalli,3,"REKHA PRIYADHARSHINI,J.",Dravida Munnetra Kazhagam,80466,1741,82207,44.08
Gangavalli,4,"NAVAN,P.",Puthiya Tamilagam,603,6,609,0.33
Gangavalli,5,"PANDIAN,A.",Amma Makkal Munnettra Kazagam,1497,22,1519,0.81
Gangavalli,6,"PERIYASAMY,K.",Indiya Jananayaka Katchi,488,5,493,0.26
Gangavalli,7,"VINOTHINI,R.",Naam Tamilar Katchi,9241,82,9323,5
Gangavalli,8,"AYYADURAI,J.",Independent,104,1,105,0.06
Gangavalli,9,"CHANDRASEKARAN,K.",Independent,155,0,155,0.08
Gangavalli,10,"SARAVANAN,R.",Independent,396,0,396,0.21
Gangavalli,11,"SENTHILKUMAR,K.",Independent,392,0,392,0.21
Gangavalli,12,NOTA,None of the Above,1241,10,1251,0.67
Gingee,1,MASTHAN K S,Dravida Munnetra Kazhagam,107683,1942,109625,52.99
Gingee,2,JAGAJANANDAM  R,Bahujan Samaj Party,632,5,637,0.31
Gingee,3,ELUMALAI N A,Anna Dravidar Kazhagam,401,9,410,0.2
Gingee,4,GOWTHAM SAGAR A,Amma Makkal Munnettra Kazagam,4751,60,4811,2.33
Gingee,5,SUGUMAR AP,Naam Tamilar Katchi,9860,60,9920,4.8
Gingee,6,RAJENDIRAN P,Pattali Makkal Katchi,73078,744,73822,35.68
Gingee,7,SRIPATHI P,Makkal Needhi Maiam,2137,14,2151,1.04
Gingee,8,KIRUBAKARAN T,Independent,179,2,181,0.09
Gingee,9,GOPI S,Independent,1911,3,1914,0.93
Gingee,10,SAHEERA,Independent,167,1,168,0.08
Gingee,11,SENJIRAJA KNK,Independent,156,1,157,0.08
Gingee,12,MARIYAPPAN S,Independent,245,1,246,0.12
Gingee,13,VARTHAMANAN B,Independent,554,5,559,0.27
Gingee,14,NOTA,None of the Above,2275,4,2279,1.1
Gobichettipalayam,1,SENGOTTAIYAN K.A,All India Anna Dravida Munnetra Kazhagam,107571,1037,108608,50.68
Gobichettipalayam,2,PALANISAMY P,Bahujan Samaj Party,1027,7,1034,0.48
Gobichettipalayam,3,MANIMARAN G.V,Dravida Munnetra Kazhagam,78488,1557,80045,37.36
Gobichettipalayam,4,SAKTHIVEL G,India Dravida Makkal Munnetra Katchi,412,3,415,0.19
Gobichettipalayam,5,SEETHALAKSHMI M.K,Naam Tamilar Katchi,11661,58,11719,5.47
Gobichettipalayam,6,THULASIMANI N.K,Amma Makkal Munnettra Kazagam,2653,29,2682,1.25
Gobichettipalayam,7,PRAKASH N.K,Makkal Needhi Maiam,4258,33,4291,2
Gobichettipalayam,8,KUMAR D,Independent,128,2,130,0.06
Gobichettipalayam,9,SANKARKUMAR K.A,Independent,157,0,157,0.07
Gobichettipalayam,10,SELVAKKUMAR S,Independent,77,0,77,0.04
Gobichettipalayam,11,DHANABAL K,Independent,310,1,311,0.15
Gobichettipalayam,12,DEVARAJ N,Independent,305,2,307,0.14
Gobichettipalayam,13,PALANISAMYRAAJ M,Independent,426,4,430,0.2
Gobichettipalayam,14,BOOPATHIRAJA  A.N,Independent,418,0,418,0.2
Gobichettipalayam,15,MUTHUMANI P,Independent,296,0,296,0.14
Gobichettipalayam,16,MOHANRAJ K,Independent,789,0,789,0.37
Gobichettipalayam,17,RAKKIMUTHU RANGANADAR R,Independent,611,0,611,0.29
Gobichettipalayam,18,JUNAYATH M,Independent,178,0,178,0.08
Gobichettipalayam,19,SRIDEVI R,Independent,473,3,476,0.22
Gobichettipalayam,20,NOTA,None of the Above,1295,12,1307,0.61
Gudalur,1,"KASILINGAM, S.",Dravida Munnetra Kazhagam,61564,987,62551,45.24
Gudalur,2,PON.JAYASEELAN,All India Anna Dravida Munnetra Kazhagam,63810,686,64496,46.65
Gudalur,3,"YOGESWARAN, A.",Desiya Murpokku Dravida Kazhagam,1160,13,1173,0.85
Gudalur,4,"KETHEESWARAN, R.",Naam Tamilar Katchi,7252,65,7317,5.29
Gudalur,5,"BABU, J.",Makkal Needhi Maiam,950,10,960,0.69
Gudalur,6,"JAYAPRAKASH, P.",Tamilaga Makkal Thannurimai Katchi,321,1,322,0.23
Gudalur,7,"SARAVANAN, M.",Independent,417,4,421,0.3
Gudalur,8,NOTA,None of the Above,1003,14,1017,0.74
Gudiyattam,1,Amulu.V,Dravida Munnetra Kazhagam,99525,887,100412,47.45
Gudiyattam,2,Paritha.G,All India Anna Dravida Munnetra Kazhagam,93066,445,93511,44.19
Gudiyattam,3,Raja.S,Bahujan Samaj Party,502,3,505,0.24
Gudiyattam,4,Kalaiyenthiri.R,Naam Tamilar Katchi,11776,58,11834,5.59
Gudiyattam,5,Selvavinayagam.D,All Pensioner’s Party,117,2,119,0.06
Gudiyattam,6,Rajan.C,Indiya Jananayaka Katchi,477,5,482,0.23
Gudiyattam,7,Vennila.R,Republican Party of India (Athawale),65,2,67,0.03
Gudiyattam,8,Jayanthi Padmanaban.C,Amma Makkal Munnettra Kazagam,1793,17,1810,0.86
Gudiyattam,9,Elumalai.M,Independent,166,2,168,0.08
Gudiyattam,10,Gunaseelan.P,Independent,137,0,137,0.06
Gudiyattam,11,Priya.M,Independent,60,2,62,0.03
Gudiyattam,12,Manojkumar.G,Independent,52,0,52,0.02
Gudiyattam,13,Radha,Independent,66,0,66,0.03
Gudiyattam,14,Lakshmipathy.N,Independent,255,2,257,0.12
Gudiyattam,15,Jaikarthikeyan.K,Independent,448,1,449,0.21
Gudiyattam,16,NOTA,None of the Above,1691,8,1699,0.8
Gummidipoondi,1,GOVINDARAJAN T.J,Dravida Munnetra Kazhagam,125001,1451,126452,56.94
Gummidipoondi,2,DILLIY K.M,Desiya Murpokku Dravida Kazhagam,2553,23,2576,1.16
Gummidipoondi,3,NAGARAJ S,Bahujan Samaj Party,1031,7,1038,0.47
Gummidipoondi,4,USHA,Naam Tamilar Katchi,11643,58,11701,5.27
Gummidipoondi,5,GOWTHAM J,Anaithu Makkal Arasiyal Katchi,254,0,254,0.11
Gummidipoondi,6,SARAVANAN V,Indiya Jananayaka Katchi,813,3,816,0.37
Gummidipoondi,7,PRAKASH M,Pattali Makkal Katchi,75004,510,75514,34
Gummidipoondi,8,SARAVANAN E,Independent,526,6,532,0.24
Gummidipoondi,9,DEVANATHAN R,Independent,482,0,482,0.22
Gummidipoondi,10,PRAKASH K,Independent,349,2,351,0.16
Gummidipoondi,11,PRAKASH M,Independent,196,0,196,0.09
Gummidipoondi,12,LAKSHMI R,Independent,369,5,374,0.17
Gummidipoondi,13,NOTA,None of the Above,1775,8,1783,0.8
Harbour,1,SEKARBABU. P.K,Dravida Munnetra Kazhagam,59073,244,59317,58.35
Harbour,2,RAVIKUMAR. C,Bahujan Samaj Party,410,0,410,0.4
Harbour,3,VINOJ. P. SELVAM,Bharatiya Janata Party,31971,72,32043,31.52
Harbour,4,AHAMED FAZIL. M,Naam Tamilar Katchi,3345,12,3357,3.3
Harbour,5,SANTHANA KRISHNAN. P,Amma Makkal Munnettra Kazagam,771,4,775,0.76
Harbour,6,RAMESH. A,Makkal Needhi Maiam,3758,5,3763,3.7
Harbour,7,ANANDRAJ. T.K,Independent,21,0,21,0.02
Harbour,8,UDHAYAKUMAR. V,Independent,25,0,25,0.02
Harbour,9,GANESH. S,Independent,68,0,68,0.07
Harbour,10,KAMAL. J,Independent,45,2,47,0.05
Harbour,11,KRISHNAKUMAR. G,Independent,22,0,22,0.02
Harbour,12,SHANKAR. A,Independent,37,1,38,0.04
Harbour,13,CHANDRAN. R,Independent,13,0,13,0.01
Harbour,14,SIVARAMAN. G,Independent,40,0,40,0.04
Harbour,15,ZIONRAJ. M,Independent,18,0,18,0.02
Harbour,16,SURESH. R,Independent,117,0,117,0.12
Harbour,17,SELVAM. P,Independent,247,0,247,0.24
Harbour,18,SELVAKUMAR. R,Independent,37,0,37,0.04
Harbour,19,SELVARAJ. S,Independent,63,0,63,0.06
Harbour,20,DAMODHARAN. A.G,Independent,20,0,20,0.02
Harbour,21,NAGARAJ. S,Independent,10,0,10,0.01
Harbour,22,PUGALENTHI. P,Independent,28,0,28,0.03
Harbour,23,MAHALINGAM. D,Independent,10,0,10,0.01
Harbour,24,RAGHUNATH. K,Independent,13,0,13,0.01
Harbour,25,RAMESH. D,Independent,11,1,12,0.01
Harbour,26,RAMKI. P,Independent,33,0,33,0.03
Harbour,27,VIVEK RAM. A,Independent,166,0,166,0.16
Harbour,28,SRINIVASAN. P,Independent,25,0,25,0.02
Harbour,29,NOTA,None of the Above,909,3,912,0.9
Harur,1,KUMAR.A,Communist Party of India  (Marxist),67358,1341,68699,34.6
Harur,2,SAMPATHKUMAR.V,All India Anna Dravida Munnetra Kazhagam,98130,931,99061,49.89
Harur,3,SIVAKUMAR.A,Bahujan Samaj Party,920,0,920,0.46
Harur,4,KARUTHOVIYAM.P,My India Party,377,5,382,0.19
Harur,5,KEERTHANA.K,Naam Tamilar Katchi,10830,120,10950,5.51
Harur,6,SATHISKUMAR.S,Indiya Jananayaka Katchi,275,7,282,0.14
Harur,7,CHINNASAMY.K,Dhesiya Makkal Kazhagam,168,1,169,0.09
Harur,8,MURUGAN.R,Amma Makkal Munnettra Kazagam,14161,166,14327,7.22
Harur,9,KUMAR.P,Independent,263,2,265,0.13
Harur,10,SARATHKUMAR.M,Independent,153,1,154,0.08
Harur,11,PALANI.C,Independent,172,1,173,0.09
Harur,12,PARTHIPAN.P,Independent,409,4,413,0.21
Harur,13,MURUGAN.R,Independent,520,1,521,0.26
Harur,14,NOTA,None of the Above,2232,17,2249,1.13
Hosur,1,PRAKAASH Y,Dravida Munnetra Kazhagam,117199,1032,118231,47.65
Hosur,2,JYOTHI S,All India Anna Dravida Munnetra Kazhagam,105475,389,105864,42.67
Hosur,3,EZHILAN S,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,460,2,462,0.19
Hosur,4,GEETHA LAKSHMI S,Naam Tamilar Katchi,11391,31,11422,4.6
Hosur,5,SUNDAR L,Shiv Sena,127,0,127,0.05
Hosur,6,SELVAM G,New Generation People’s Party,145,0,145,0.06
Hosur,7,MASOOD S,Makkal Needhi Maiam,6536,27,6563,2.65
Hosur,8,MAREGOWDU M,Amma Makkal Munnettra Kazagam,806,0,806,0.32
Hosur,9,JAYASEELAN G,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,64,1,65,0.03
Hosur,10,KISHORE KUMAR R,Independent,54,0,54,0.02
Hosur,11,GEETHA V,Independent,72,1,73,0.03
Hosur,12,SHANMUGAM R,Independent,124,1,125,0.05
Hosur,13,DEVAPPA Y,Independent,80,1,81,0.03
Hosur,14,BALARAJU N,Independent,132,0,132,0.05
Hosur,15,MUTHAMIZH MUDHALVAN S,Independent,395,2,397,0.16
Hosur,16,MUTHU R K,Independent,585,0,585,0.24
Hosur,17,RAMASWAMY G C,Independent,628,1,629,0.25
Hosur,18,LOKESH V,Independent,361,0,361,0.15
Hosur,19,NOTA,None of the Above,1968,8,1976,0.8
Jayankondam,1,KANNAN KA SO KA,Dravida Munnetra Kazhagam,98174,1355,99529,46
Jayankondam,2,NEELAMEGAM K,Bahujan Samaj Party,603,2,605,0.28
Jayankondam,3,SIVA J K,Amma Makkal Munnettra Kazagam,1545,15,1560,0.72
Jayankondam,4,SORNALATHA @ LATHA G,Indiya Jananayaka Katchi,4662,38,4700,2.17
Jayankondam,5,NATARAJAN A,Anna Dravidar Kazhagam,413,5,418,0.19
Jayankondam,6,BALU K,Pattali Makkal Katchi,93217,860,94077,43.48
Jayankondam,7,MAHALINGAM NEELA,Naam Tamilar Katchi,9903,53,9956,4.6
Jayankondam,8,KESAVARAJAN V K,Independent,1543,3,1546,0.71
Jayankondam,9,SATHISHKUMAR R,Independent,348,1,349,0.16
Jayankondam,10,SAMUVEL MARTIN A,Independent,309,3,312,0.14
Jayankondam,11,SUDARVIZHI K,Independent,247,3,250,0.12
Jayankondam,12,SEDHURAMAN R,Independent,257,1,258,0.12
Jayankondam,13,RAJKUMAR S,Independent,945,2,947,0.44
Jayankondam,14,NOTA,None of the Above,1850,11,1861,0.86
Jolarpet,1,SIVAKUMAR.V.C.,Bahujan Samaj Party,341,6,347,0.18
Jolarpet,2,DEVARAJI.K.,Dravida Munnetra Kazhagam,88237,1253,89490,45.57
Jolarpet,3,VEERAMANI.K.C.,All India Anna Dravida Munnetra Kazhagam,87365,1034,88399,45.02
Jolarpet,4,KALASTHRI.S.,All India Uzhavargal Uzhaippalargal Katchi,861,9,870,0.44
Jolarpet,5,SIVA.A.,Naam Tamilar Katchi,13199,129,13328,6.79
Jolarpet,6,THENNARASU SAAMRAJ,Amma Makkal Munnettra Kazagam,614,5,619,0.32
Jolarpet,7,KARUNANIDHI.R.,Independent,1057,10,1067,0.54
Jolarpet,8,DEVARAJI.R.,Independent,101,2,103,0.05
Jolarpet,9,DEVARAJ.V.K.,Independent,80,2,82,0.04
Jolarpet,10,MANITHAN,Independent,140,2,142,0.07
Jolarpet,11,VEERAMANI.A.,Independent,148,0,148,0.08
Jolarpet,12,VEERAMANI.H.,Independent,208,1,209,0.11
Jolarpet,13,VEERAMANI.S.,Independent,217,0,217,0.11
Jolarpet,14,NOTA,None of the Above,1328,9,1337,0.68
Kadayanallur,1,C.KRISHNAMURALI,All India Anna Dravida Munnetra Kazhagam,87900,574,88474,43.08
Kadayanallur,2,M.AMBIKADEVI,Makkal Needhi Maiam,1756,22,1778,0.87
Kadayanallur,3,S.AYYADURAIPANDIAN,Amma Makkal Munnettra Kazagam,34047,169,34216,16.66
Kadayanallur,4,S.RAJA RAM,New Generation People’s Party,313,5,318,0.15
Kadayanallur,5,M.MUTHULAKSHMI,Naam Tamilar Katchi,10052,84,10136,4.94
Kadayanallur,6,K.A.M.MUHAMMED ABUBACKER,Indian Union Muslim League,63298,827,64125,31.22
Kadayanallur,7,M.AYYADURAI,Independent,283,1,284,0.14
Kadayanallur,8,AYYADURAI  R,Independent,87,0,87,0.04
Kadayanallur,9,AVANI RAJA.T,Independent,80,0,80,0.04
Kadayanallur,10,K.RADHA KRISHNAN,Independent,84,1,85,0.04
Kadayanallur,11,RAJA PONNUSAMY,Independent,257,2,259,0.13
Kadayanallur,12,A.GANESAN,Independent,117,5,122,0.06
Kadayanallur,13,R.KRISHNAN,Independent,126,0,126,0.06
Kadayanallur,14,A.SANKAR,Independent,413,0,413,0.2
Kadayanallur,15,SIVASUBRAMANIYAN R,Independent,666,6,672,0.33
Kadayanallur,16,S.SEENIVASAN,Independent,938,0,938,0.46
Kadayanallur,17,POOLOGARAJ R,Independent,657,1,658,0.32
Kadayanallur,18,MARIDURAIPANDIAN,Independent,96,0,96,0.05
Kadayanallur,19,S.MURUGANANTHAM,Independent,532,0,532,0.26
Kadayanallur,20,P.RAJI,Independent,245,2,247,0.12
Kadayanallur,21,VELAMMAL,Independent,670,2,672,0.33
Kadayanallur,22,NOTA,None of the Above,1047,9,1056,0.51
Kalasapakkam,1,Saravanan.P.S.T,Dravida Munnetra Kazhagam,92712,1422,94134,47.92
Kalasapakkam,2,Nehru.M,Desiya Murpokku Dravida Kazhagam,2738,18,2756,1.4
Kalasapakkam,3,Panneerselvam.V,All India Anna Dravida Munnetra Kazhagam,84070,842,84912,43.23
Kalasapakkam,4,Rajkumar.E,Bahujan Samaj Party,623,9,632,0.32
Kalasapakkam,5,Kalyanasundaram.A,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,126,2,128,0.07
Kalasapakkam,6,Sampath.R.V,Anna Dravidar Kazhagam,91,1,92,0.05
Kalasapakkam,7,Balaji.E,Naam Tamilar Katchi,8748,74,8822,4.49
Kalasapakkam,8,Rajendran.M.S,Indiya Jananayaka Katchi,239,5,244,0.12
Kalasapakkam,9,Amutha.G,Independent,362,20,382,0.19
Kalasapakkam,10,Saravanan.K,Independent,244,6,250,0.13
Kalasapakkam,11,Tirunavukarasu.M,Independent,755,10,765,0.39
Kalasapakkam,12,Panneerselvam.S,Independent,710,3,713,0.36
Kalasapakkam,13,Panneerselvam.V,Independent,238,1,239,0.12
Kalasapakkam,14,Rajamani.K,Independent,449,1,450,0.23
Kalasapakkam,15,Jagannathan.R,Independent,321,1,322,0.16
Kalasapakkam,16,NOTA,None of the Above,1584,9,1593,0.81
Kallakurichi,1,Suriyaprakash.M,Independent,655,4,659,0.29
Kallakurichi,2,Dravidamuthamilselvi.D,Naam Tamilar Katchi,16409,65,16474,7.29
Kallakurichi,3,Manirathinem.K.I,Indian National Congress,83367,1385,84752,37.52
Kallakurichi,4,Vijayakumar.N,Desiya Murpokku Dravida Kazhagam,6555,16,6571,2.91
Kallakurichi,5,Senthilkumar.M,All India Anna Dravida Munnetra Kazhagam,109909,734,110643,48.99
Kallakurichi,6,Dinesh.M,My India Party,197,1,198,0.09
Kallakurichi,7,Ayyasamy.M,Indiya Jananayaka Katchi,864,7,871,0.39
Kallakurichi,8,Devimangayarkarasi.K,Independent,1197,0,1197,0.53
Kallakurichi,9,Prabu.C,Independent,937,0,937,0.41
Kallakurichi,10,Gurusamy.M,Independent,103,0,103,0.05
Kallakurichi,11,Selvaraj.M,Independent,265,1,266,0.12
Kallakurichi,12,Palanisamy.A,Bahujan Samaj Party,1096,1,1097,0.49
Kallakurichi,13,Kuppusamy.K,Anna MGR Dravida Makkal Kalgam,171,0,171,0.08
Kallakurichi,14,Oviyar Ananth,Lok Jan Shakti Party,102,0,102,0.05
Kallakurichi,15,Elaiyaperumal.K,Independent,185,0,185,0.08
Kallakurichi,16,Sivakumar.S,Independent,125,0,125,0.06
Kallakurichi,17,Subramaniyan.P,Independent,248,2,250,0.11
Kallakurichi,18,NOTA,None of the Above,1247,10,1257,0.56
Kancheepuram,1,C.V.M.P. Ezhailzrasan,Dravida Munnetra Kazhagam,100914,1798,102712,44.77
Kancheepuram,2,K. Prabakaran,Bahujan Samaj Party,1185,8,1193,0.52
Kancheepuram,3,B. GOPINATH,Makkal Needhi Maiam,11936,92,12028,5.24
Kancheepuram,4,S. SALDIN,Naam Tamilar Katchi,13829,117,13946,6.08
Kancheepuram,5,P. Magesh Kumar,Pattali Makkal Katchi,90390,727,91117,39.71
Kancheepuram,6,N. MANOGARAN,Amma Makkal Munnettra Kazagam,2283,18,2301,1
Kancheepuram,7,M. MEGANATHAN,New Generation People’s Party,241,7,248,0.11
Kancheepuram,8,L. ARULNATHAN,Independent,2024,26,2050,0.89
Kancheepuram,9,M.ELANGOVAN,Independent,94,17,111,0.05
Kancheepuram,10,P. EZHILARASAN,Independent,126,1,127,0.06
Kancheepuram,11,S. SRINIVASAN,Independent,162,0,162,0.07
Kancheepuram,12,D.GNANAMOORTHY,Independent,412,3,415,0.18
Kancheepuram,13,T. MAGESH,Independent,143,14,157,0.07
Kancheepuram,14,R. VINOTHRAJ,Independent,133,0,133,0.06
Kancheepuram,15,J. JAYARAJ,Independent,192,1,193,0.08
Kancheepuram,16,NOTA,None of the Above,2521,18,2539,1.11
Kangayam,1,AYYAVU.N,Bahujan Samaj Party,421,0,421,0.21
Kangayam,2,SAMINATHAN.M.P,Dravida Munnetra Kazhagam,93178,1019,94197,47.14
Kangayam,3,RAMALINGAM.A.S,All India Anna Dravida Munnetra Kazhagam,86477,389,86866,43.47
Kangayam,4,SIVANANTHAM.K,Naam Tamilar Katchi,11248,59,11307,5.66
Kangayam,5,MANOHARAN.S,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,134,0,134,0.07
Kangayam,6,RAMESH.C,Amma Makkal Munnettra Kazagam,474,0,474,0.24
Kangayam,7,APPASAMY.R,Independent,2317,10,2327,1.16
Kangayam,8,IMMANUVEL.R,Independent,434,1,435,0.22
Kangayam,9,GOPINATH.P,Independent,247,0,247,0.12
Kangayam,10,SATHISH KUMAR.P,Independent,60,2,62,0.03
Kangayam,11,SATHYAMOORTHI.S,Independent,106,1,107,0.05
Kangayam,12,SUKUMARAN.N,Independent,59,0,59,0.03
Kangayam,13,SUBRAMANIAN.D,Independent,123,1,124,0.06
Kangayam,14,SELVAKUMAR.K,Independent,225,0,225,0.11
Kangayam,15,NALLAMUTHU.P,Independent,276,0,276,0.14
Kangayam,16,NITHIYANDHAN.C,Independent,285,0,285,0.14
Kangayam,17,PRABHAKARAN.G,Independent,113,0,113,0.06
Kangayam,18,MANI.A,Independent,273,0,273,0.14
Kangayam,19,MANIKANDAN.R,Independent,330,0,330,0.17
Kangayam,20,RAVIKUMAR.R,Independent,98,2,100,0.05
Kangayam,21,RAMALINGAM.N,Independent,38,0,38,0.02
Kangayam,22,RAJENDRAN.B,Independent,94,1,95,0.05
Kangayam,23,RAJENDRAN.P,Independent,40,0,40,0.02
Kangayam,24,VADUGANATHAN.K.K.,Independent,83,0,83,0.04
Kangayam,25,JAHANGEER.K.O.,Independent,88,1,89,0.04
Kangayam,26,JOTHI KALIMUTHU.G,Independent,84,0,84,0.04
Kangayam,27,NOTA,None of the Above,1020,7,1027,0.51
Kanniyakumari,1,AUSTIN S.,Dravida Munnetra Kazhagam,91511,2021,93532,41.59
Kanniyakumari,2,SUTHARMAN C.J.,Bahujan Samaj Party,675,6,681,0.3
Kanniyakumari,3,THALAVAI SUNDARAM N.,All India Anna Dravida Munnetra Kazhagam,108136,1609,109745,48.8
Kanniyakumari,4,SASIKALA  R.,Naam Tamilar Katchi,14072,68,14140,6.29
Kanniyakumari,5,SENTHIL MURUGAN  P.,Amma Makkal Munnettra Kazagam,1570,19,1589,0.71
Kanniyakumari,6,SELVAKUMAR  P.T.,Makkal Needhi Maiam,3100,6,3106,1.38
Kanniyakumari,7,AUGUSTIN A.,Independent,445,1,446,0.2
Kanniyakumari,8,SUNDARA NATHAN Y.,Independent,50,0,50,0.02
Kanniyakumari,9,SUBASH S.,Independent,77,1,78,0.03
Kanniyakumari,10,CHELLIAH PILLAI I.,Independent,55,0,55,0.02
Kanniyakumari,11,THANU NEELAN S.,Independent,95,0,95,0.04
Kanniyakumari,12,MAKESH N.,Independent,115,4,119,0.05
Kanniyakumari,13,MANICKAVASAGAM PILLAI NA.,Independent,141,1,142,0.06
Kanniyakumari,14,NOTA,None of the Above,1092,4,1096,0.49
Karaikudi,1,N.Baluswamy,Bahujan Samaj Party,649,3,652,0.31
Karaikudi,2,S.Mangudi,Indian National Congress,73777,2177,75954,35.75
Karaikudi,3,H.Raja,Bharatiya Janata Party,53863,502,54365,25.59
Karaikudi,4,N.Durai Manickam,Naam Tamilar Katchi,23725,147,23872,11.24
Karaikudi,5,Dherpoki V Pandi,Amma Makkal Munnettra Kazagam,44561,303,44864,21.12
Karaikudi,6,Rajkumar.G,Anna MGR Dravida Makkal Kalgam,338,3,341,0.16
Karaikudi,7,S.Rajkumar,Makkal Needhi Maiam,8260,91,8351,3.93
Karaikudi,8,B.Vanitha,Puthiya Tamilagam,698,4,702,0.33
Karaikudi,9,A.Ganesan,Independent,340,6,346,0.16
Karaikudi,10,M.Naina Mohamed,Independent,412,4,416,0.2
Karaikudi,11,A.Paramasivam,Independent,192,0,192,0.09
Karaikudi,12,N.Meenal,Independent,543,5,548,0.26
Karaikudi,13,K.Velu,Independent,498,6,504,0.24
Karaikudi,14,NOTA,None of the Above,1329,20,1349,0.63
Karur,1,AADHIKRISHNAN.P,Bahujan Samaj Party,210,0,210,0.1
Karur,2,SENTHILBALAJI V,Dravida Munnetra Kazhagam,100356,1401,101757,49.08
Karur,3,THANGARAJ.N,Desiya Murpokku Dravida Kazhagam,946,7,953,0.46
Karur,4,VIJAYABHASKAR. M.R,All India Anna Dravida Munnetra Kazhagam,88440,869,89309,43.08
Karur,5,KARUPPAIYA.R,Naam Tamilar Katchi,7286,30,7316,3.53
Karur,6,SHANMUGAM.N,Samaniya Makkal Nala Katchi,99,0,99,0.05
Karur,7,DHANALAKSHMI.M,Ganasangam Party of India,105,0,105,0.05
Karur,8,MOHANRAJ.S,Makkal Needhi Maiam,4138,16,4154,2
Karur,9,JOSEPH.M.A,Desiya Makkal Sakthi Katchi,39,0,39,0.02
Karur,10,ABILAZAN.N,Independent,29,0,29,0.01
Karur,11,AMARNATH.K,Independent,28,0,28,0.01
Karur,12,AMARSRI.M,Independent,56,0,56,0.03
Karur,13,ANBAZHAGAN,Independent,334,0,334,0.16
Karur,14,RAVI.P,Independent,366,3,369,0.18
Karur,15,KANNAN.T,Independent,165,0,165,0.08
Karur,16,KATHIRAVAN.P,Independent,114,0,114,0.05
Karur,17,KARUNAMOORTHY.S,Independent,29,0,29,0.01
Karur,18,KALAI RAJ.K,Independent,51,0,51,0.02
Karur,19,KAMARAJ.P,Independent,15,0,15,0.01
Karur,20,KRISHNAKUMAR.S,Independent,42,0,42,0.02
Karur,21,GOPALAKRISHNAN.A,Independent,19,0,19,0.01
Karur,22,SAKTHIKUMAR,Independent,2,0,2,0
Karur,23,SANTHANAKUMAR.M,Independent,3,1,4,0
Karur,24,SATHISH.P,Independent,10,0,10,0
Karur,25,SAMPATH.S,Independent,9,0,9,0
Karur,26,SARAVANAN.R,Independent,10,0,10,0
Karur,27,SAMIAPPAN.K,Independent,10,0,10,0
Karur,28,SAMIVEL.A,Independent,12,0,12,0.01
Karur,29,SHIVAKUMAR.K,Independent,29,0,29,0.01
Karur,30,SIVAKUMAR.N,Independent,18,0,18,0.01
Karur,31,SIVAKUMAR.V,Independent,46,0,46,0.02
Karur,32,SIVASAMY.P,Independent,37,0,37,0.02
Karur,33,SUDHAKAR.S,Independent,7,0,7,0
